Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
CG18815,89.9136,86.4155,102.012,101.339,87.2524,81.5788,62.6789,56.9816,53.7684,49.4478,56.4969,51.7776
TfIIEalpha,20.7538,22.704,14.9611,16.2449,16.3803,17.9092,14.7967,16.0824,20.0706,21.9582,22.2764,24.2459
CG11652,16.6462,17.0986,14.9986,15.4826,24.6625,25.375,13.1343,13.5493,15.6546,16.2485,23.1639,23.9421
CG6038,33.1144,35.8273,20.828,22.0631,14.0172,14.9663,22.8884,24.8219,28.646,31.2128,36.9455,40.7217
CG14132,22.8855,26.1622,35.2001,40.24,16.6871,19.0489,13.3398,15.2497,19.3058,22.0699,30.8959,35.3195
CG5946,184.936,209.272,213.313,241.22,258.196,292.257,60.3456,66.4507,41.0981,44.1867,35.3673,37.6284
RpL10Ab,2738.33,3225.97,2370.84,2981.4,1706.58,2028.7,1415.7,1716.81,1319.99,1648.13,1410.15,1708.33
CG5883,58.8927,65.7094,44.9268,50.1353,36.9536,41.2195,61.8034,68.8792,34.3658,38.2787,19.9802,22.2841
CG7252,76.2175,92.4681,62.6211,75.9707,50.7955,61.4791,82.79,100.385,79.0767,96.0017,43.2551,52.4629
CG17826,46.9131,46.6506,89.3422,78.1076,154.952,141.119,232.385,205.926,128.323,117.549,78.6328,69.2332
obst-G,16.5248,17.4473,14.2069,15.3584,12.0002,12.2049,33.0805,34.4595,42.1307,44.8325,32.0939,33.6649
CG6947,300.053,322.203,215.355,224.829,146.507,164.676,109.258,122.468,107.598,133.798,88.8294,109.189
viaf,58.9444,59.3513,58.0008,58.4012,51.9104,52.2689,29.6521,29.8556,37.2485,37.5011,48.8329,49.1562
Pop2,32.5872,31.0663,35.4934,34.267,28.0796,27.2711,31.432,30.3912,45.773,43.4682,57.7941,54.5578
yps,112.599,123.902,112.249,121.962,136.496,147.137,72.6048,78.4647,107.866,117.467,94.0388,97.6044
l(3)neo18,174.285,187.43,221.948,238.17,196.635,210.335,110.965,119.075,60.6553,65.1076,58.2068,61.8836
RhoGAP68F,18.2696,18.558,14.0415,14.2854,19.2803,19.6703,40.8071,41.6812,57.5995,58.8409,81.2973,82.9458
CG5642,189.758,205.802,160.772,174.316,117.83,127.771,116.876,126.736,130.901,141.89,156.391,169.563
Nrx-IV,24.8528,25.4789,18.5781,18.959,13.7853,14.0466,17.6704,17.9387,32.3757,33.1937,44.0996,45.1828
CAH2,206.834,217.253,136.009,142.807,65.7184,69.0171,21.5063,22.3694,22.6965,23.7109,30.084,31.4677
CG6910,34.0201,34.6802,37.5186,38.763,55.382,57.3938,221.643,229.725,162.611,168.588,41.9993,43.4571
Adk1,170.098,171.482,144.795,145.967,130.812,132.231,50.4487,51.9306,42.9321,44.3122,41.2822,42.0613
Pbgs,22.825,22.825,42.2149,42.2149,32.3678,32.3678,33.0328,33.0328,37.8264,37.8264,29.449,29.449
CG4300,91.9975,95.6368,76.5935,79.6317,43.7297,45.3965,15.9273,16.5765,14.6424,15.241,18.455,19.0862
CG10418,19.8313,31.4572,27.9805,44.5492,16.6864,26.6974,20.9988,33.1368,23.0632,36.6851,27.5697,43.0366
Ncc69,33.7098,33.9398,25.9513,26.1533,20.1392,20.2282,24.0152,24.1637,32.9526,33.1747,39.3877,39.7939
CG32103,31.7007,30.9834,31.2869,33.8232,32.3873,37.0396,22.4462,24.1281,31.928,34.1731,28.8365,29.6581
Gap69C,32.009,32.1747,45.6643,46.231,35.5049,35.8598,23.4626,23.7136,25.556,25.8507,28.1742,28.4826
CG10616,15.361,20.021,26.6042,34.5126,18.4052,23.9213,22.8713,29.6942,31.3372,40.6466,35.6721,46.0146
CG10638,16.5198,20.7946,31.829,40.1668,34.3754,43.5522,30.9912,39.1253,28.8507,36.2718,32.3706,40.6142
vih,22.1345,25.0204,20.2829,22.7556,12.696,14.2377,21.9738,23.9446,37.0724,40.3528,60.3206,65.4434
tral,52.1436,49.3962,45.0111,43.9346,44.9375,43.1242,34.5311,33.7152,68.1625,64.9977,77.485,74.1326
eIF-2beta,201.094,220.242,194.962,215.041,148.073,164.534,92.0716,102.357,93.4382,103.427,107.093,119.367
CG10627,44.7507,46.9522,70.876,74.3526,71.0051,74.4873,41.7211,43.7626,40.8757,42.8667,33.6037,35.2413
Tsf2,34.3383,37.5008,21.3256,23.2894,17.4261,19.041,19.2452,21.0202,27.0632,29.5559,32.2207,35.2051
CG34242,23.5536,24.1899,28.7998,29.4387,25.6414,24.9386,15.147,14.7469,14.1213,13.7737,16.0925,16.4891
CG10688,32.4404,33.138,44.8037,45.2008,35.682,36.0189,41.7645,42.0727,33.9798,34.2193,31.6214,31.9816
snRNP69D,19.7484,22.1676,23.7782,26.6914,18.1277,20.3844,18.4183,20.6097,25.9244,28.9387,26.3902,29.6161
Klc,41.6526,41.206,46.6121,46.4454,33.1326,32.8842,38.6583,38.8434,51.786,51.9711,67.8777,68.4973
CG10754,27.9029,27.9025,29.3759,29.3703,20.867,20.857,18.9005,18.8989,23.3593,23.3776,28.642,28.6485
CG10960,100.205,101.447,77.2035,78.4637,106.648,107.792,52.238,52.757,107.36,108.457,182.336,184.004
CG11009,33.8846,30.3037,32.1792,29.7312,29.9255,27.2768,42.0603,38.2516,65.6275,58.4255,61.8821,58.3676
CG11267,459.088,486.842,520.171,566.303,376.016,394.51,89.2923,96.6603,79.5318,78.3249,88.5092,93.3653
mRpL20,47.0551,56.0825,57.9331,68.0022,38.842,45.4711,14.9772,17.3144,11.8986,13.8831,14.6732,17.1706
CG11255,116.037,127.288,81.2654,88.9394,94.6327,103.543,46.6981,51.2963,47.0696,51.4708,59.0581,64.865
RpS12,2679.7,2769.5,2350.59,2429.32,1925.23,1989.67,1396.12,1442.88,1356.45,1401.89,1460.85,1509.66
RpS4,3382,4630.22,2546.43,3486.09,1925.59,2635.88,1404.63,1923.4,1310.6,1794.37,1484.68,2032.4
Syx13,15.1339,15.6658,12.897,13.2368,12.4758,12.57,22.6801,23.1595,34.2373,35.1317,71.5567,72.0823
CG10725,429.08,544.717,432.375,548.717,393.678,499.108,490.028,621.701,250.095,317.266,147.258,186.809
CG10140,10.467,11.1642,13.7125,14.7244,14.38,15.6551,20.8193,22.1839,28.2968,30.5048,64.3089,68.4145
CG14109,15.9642,17.3474,21.3623,23.4173,22.0209,23.9228,32.2,35.4446,76.4696,85.5072,169.166,185.563
CG10732,22.8769,23.0678,17.1315,17.2481,21.2316,21.3285,17.4202,17.7117,25.4851,25.5953,26.0074,26.0373
stv,37.4682,36.3974,33.2294,32.032,34.9772,34.2216,25.7836,25.5208,28.5582,28.024,25.1338,24.6794
CG10083,11.5775,11.749,20.1963,20.5123,11.8982,12.0882,15.7756,15.9879,25.9504,26.2724,35.5901,36.1234
CG10743,17.6154,17.8089,17.0367,17.1142,15.0229,15.1044,17.252,17.4561,22.1369,22.3366,24.5385,24.7404
CG8745,52.7753,50.4443,64.2934,63.7637,13.0101,13.0181,39.8419,40.9129,101.032,99.5045,114.006,110.06
CG32137,21.8414,22.2131,17.555,17.8162,23.514,23.9773,18.2277,18.537,28.3368,28.7427,33.3887,33.9405
26-29-p,29.9868,32.65,93.9067,102.24,94.1334,102.478,142.672,155.314,135.469,147.476,108.002,117.492
endos,36.9158,39.7227,30.7014,33.1096,31.7832,34.7597,64.3236,69.1528,87.019,93.8362,124.997,130.612
Hsc70Cb,166.7,168.893,141.139,143.663,92.5717,94.0182,51.309,52.092,85.8106,87.1069,94.3436,95.9088
CG6833,22.0814,21.8952,11.0495,10.8321,10.4769,10.3442,10.2513,10.2406,13.2929,13.238,16.2568,15.8708
nuf,19.5811,16.9788,23.0037,21.2041,16.0254,15.195,12.4636,12.6279,27.2231,26.9648,44.5711,43.1493
CG13482,29.3947,22.2298,32.3026,22.1687,56.3698,37.2167,86.6241,56.1098,111.989,72.1314,76.3654,49.6819
