gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_001285018,23.3365,14.462,27.4841
NP_001285657,31.9222,20.0147,36.8075
NP_523582,13.7138,12.0069,12.6598
NP_001286300,25.5937,66.107,23.8224
NP_611983,69.1098,85.4297,59.3663
NP_001097094,29.4381,39.7408,18.3439
NP_001286891,49.1959,46.8427,56.9403
AAN71576,17.6189,13.4201,14.3582
NP_477034,45.711,58.0766,45.87
NP_647727,11.5141,54.4524,25.7208
AAY27479,11.1267,11.1183,13.9757
NP_001285058,76.6772,24.8864,78.7507
NP_001285268,13.6333,22.8885,12.0766
NP_610398,12.4245,16.5846,17.9153
NP_610460,11.9369,11.5865,10.3199
NP_001262598,27.1958,29.128,30.7245
NP_732486,22.6153,14.9609,20.5802
AEC46900,22.377,20.3723,19.8529
CAL26784,95.4673,66.135,92.7956
NP_477134,61.0849,73.3912,78.8205
NP_001285124,61.2735,37.4928,58.5615
CAQ53523,14.0665,12.2086,14.366
NP_523444,44.1875,28.8454,42.122
NP_649439,13.0011,34.1588,10.7878
NP_001286407,47.666,73.3253,42.0997
NP_001260796,16.4966,21.5211,19.2883
NP_724906,30.8337,34.0101,28.1572
NP_523478,34.6121,57.1679,34.6894
NP_524834,57.2006,97.63,59.058
NP_610676,125.106,81.3526,117.316
NP_524103,52.3931,14.4346,56.7622
NP_609202,11.9349,10.4487,11.2171
NP_649252,34.0097,29.9773,28.5273
NP_001285316,17.6557,14.6489,17.1862
NP_477210,35.6497,35.0005,40.8844
NP_572573,24.9807,43.0949,28.804
NP_569851,18.7839,18.0925,14.6694
NP_524776,31.2052,15.2365,30.9995
NP_001261786,12.1491,17.1965,15.8981
NP_573098,24.4813,14.9092,22.5378
NP_001262379,11.2237,12.2341,12.0193
