	NP_001286321	NP_001259822	AAN71367
NP_001260689	0.24657619560645028	-0.9869102603046256	0.4295006399645725
NP_001284961	0.8329972634106525	-0.8400724508335577	0.9243380172677524
NP_001262966	-0.20375372181762727	-0.8160145711048791	-0.010396395174997585
NP_477203	-0.780581779509654	0.8849207425375794	-0.8868072244143165
NP_001285737	0.4694958140892232	-0.9969909305439567	0.6315212400142816
NP_001262556	-0.6437453541621457	0.9587402436827897	-0.7796937504162736
NP_001189124	-0.9942847632791892	0.4952198767648273	-0.9961454598509454
NP_001260732	0.3486032805658779	-0.9984855145527058	0.5234325310051041
NP_001285794	0.9961905924751981	-0.4780533648487959	0.9942295382842318
NP_001284995	-0.9527294816265444	0.10224499942407489	-0.8759023315086302
NP_001246139	0.9679134755270382	-0.617161285758239	0.9982474626374019
NP_523813	-0.5547696714109086	0.9843829418275071	-0.7053239859039012
NP_523774	0.9603400158793874	-0.12819257101355594	0.8882057811182216
NP_001286260	-0.9481506702353313	0.08758053766588224	-0.8686999668628355
NP_524002	0.9663651217856404	-0.6219419404033044	0.9978685365512768
NP_608387	0.9287515136728762	-0.7109788751223594	0.9829414494654708
NP_001262025	0.43504369207887233	0.6515197530261949	0.25252875642783873
NP_001285145	-0.41004387164386125	0.9999352640115616	-0.578832422833409
NP_610610	-0.9972406155581989	0.3304855789558421	-0.964010701692853
NP_725114	-0.8806455787145924	-0.08235631240326002	-0.7722843275147058
NP_001303417	-0.9180330186530251	0.7303464625959205	-0.9774198345421378
NP_001036440	0.9704669224913585	-0.16670414468270423	0.9054186740418168
NP_524819	-0.9822451655348273	0.22057456259111555	-0.9273554912359782
NP_001260537	-0.8578718168656061	0.8138841596115927	-0.9411131075132053
NP_001286614	-0.9557667441178976	0.65157904545476	-0.994623140654106
NP_649560	0.9997726383734286	-0.4190948548569177	0.9849918876371234
6XU6_CM	0.17631885433979222	0.8318470095636835	-0.01754761914477196
NP_001286770	-0.7847915970882496	0.8817503661689221	-0.8899127105950071
ACJ13227	0.6262092698626427	0.46443028482429455	0.4634526677977897
NP_651782	-0.9918858976698531	0.2798590217043475	-0.9485188310699635
NP_001163336	0.6982235819278867	0.3771895010039303	0.5464496348779142
NP_001247264	-0.9885959539359326	0.5331257800244331	-0.9990485108830103
NP_001284750	-0.371502805558839	-0.702600641245343	-0.18476542620841419
NP_001259991	-0.8994431374209746	0.7600734841217834	-0.9670274461091247
NP_001261501	0.4814882411963446	0.6109981465710312	0.30273210870393763
AAL39439	-0.8559416668416714	0.8160540797956789	-0.9398405424882175
AAY85097	-0.9982997052773738	0.452392612896489	-0.990702258596685
NP_647950	0.20611326028117213	-0.9793607334261901	0.39162337879728837
NP_001104459	-0.9364207996207741	0.6958718377810971	-0.9866284965033495
CAA61806	-0.9992236628721807	0.4354427674234637	-0.987951644260413
NP_732312	-0.9380573927713088	0.6924933429358461	-0.9873826267037377
NP_524726	0.9926322899115961	-0.5077643487088749	0.9973125762440537
NP_524421	-0.9645838601347997	0.6272823206620644	-0.9973989535784172
NP_001104426	-0.9102877381367959	-0.015693564894976305	-0.8129409405854109
NP_001262233	0.9779108693296495	-0.19920680283197922	0.9189569158744896
NP_001303431	0.9856666856970512	-0.5485580213054662	0.9996805065780803
NP_729654	-0.930188818068484	0.708233577839811	-0.9836505833927105
NP_001284785	-0.6406503786540283	0.9598802507600749	-0.777159210364787
ACT88135	0.8803792131728639	0.08291631577451435	0.7719272273690264
NP_511073	0.81117859210938	0.21188965167815504	0.6826410567408988
NP_001284805	-0.14125503612216733	0.9639322313139317	-0.33020714486306857
NP_610503	-0.9994598623328406	0.36929892522502566	-0.9741965202384408
NP_476985	-0.9844163965290421	0.5546114633264372	-0.9998376165174582
NP_001034051	-0.6627071310165406	0.9513203392884528	-0.7951299851453482
NP_001188689	0.9826722159252891	-0.22280767526607737	0.9282099709613467
NP_609222	-0.9998139914137627	0.38188542643705	-0.9771718314488747
NP_001262202	-0.30544050841625764	0.9949317744280973	-0.4839780765649019
CAA48872	-0.9545096176328619	0.6547932266546639	-0.9941745816743092
NP_001033885	-0.797924153197157	0.8714134958915616	-0.8995059384236419
NP_001247362	0.579101371706816	0.5158904781555949	0.410344700200838
NP_001259397	-0.9135009881042777	0.7380068620824012	-0.9749735326933848
NP_001245533	0.1669876441069276	-0.9705362443876348	0.3546760705618323
NP_477136	-0.0509098646995289	0.9358292950846456	-0.2432604399210026
NP_724333	-0.9108859586184814	-0.01424636317995683	-0.8137829556465145
NP_001259956	-0.7089076664121043	0.9298377255631767	-0.832021728334842
NP_648409	-0.9698441486820134	0.6110048457203339	-0.9986787038060497
ABG02165	-0.9720008264890897	0.6038472354019828	-0.999101196321162
NP_001245895	-0.9509947599359474	0.09661353848016434	-0.8731576685270739
NP_648910	-0.8900098417782104	0.773631891790726	-0.9614316035961187
NP_001262647	0.98675508471566	-0.5430462752834453	0.9994926142291676
NP_001259822	-0.399639485584145	1.0	-0.5695164820482108
NP_001261698	-0.5937578580417355	-0.5003056529737437	-0.42677805730168356
NP_001287055	0.19741539816462064	0.8197372287517479	0.003926746067573713
NP_001036353	-0.8992967380394516	0.7602910496453467	-0.9669421109236878
NP_610294	-0.5750865775856695	-0.5200955583483573	-0.4058566911804973
NP_477135	-0.989566335260435	0.26339746195630315	-0.9429628594837953
NP_730672	-0.9472088010699486	0.08464096064415529	-0.8672346723604276
AAN71367	0.9810875698288581	-0.5695164820482108	1.0
NP_001097399	-0.8922588904049419	0.7704816230734632	-0.9627831146674687
NP_609183	0.7315734545496272	-0.9173186205174517	0.8497026026108302
NP_650498	0.9196237711528941	-0.007448727523053351	0.8261992821741367
NP_001247382	-0.9677522286767198	0.6176654436692574	-0.998209330536853
NP_477101	-0.979194984112303	0.5773376255914124	-0.9999544303761327
NP_732610	-0.8523400572004235	-0.13877990240419963	-0.7349883763261424
NP_611539	-0.39665500772605755	0.9999947074644998	-0.5668391839140872
NP_001246062	-0.9251304345401706	0.0217045111364223	-0.8341473550600133
NP_001285895	0.26927494166321825	0.7752006844515655	0.0777675112563135
NP_649940	0.9197502943966808	-0.00777094546690935	0.8263807750295777
NP_001189044	-0.9995131626930733	0.4280450697196661	-0.9866491419163194
NP_001286731	-0.9916084588215027	0.2777808057017656	-0.9478312159363271
NP_610057	-0.9997415564243605	0.3786968613497843	-0.9764335820753405
NP_001027048	-0.9999884802750956	0.3952349195543916	-0.9801471725773322
