	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
CG7766	0.6324533450234828	0.8416414989571742	0.49446028211720267	-0.9323916016406606	-0.9472266024646113	-0.6376007144777415	0.4106361257394118	-0.9163628422207801
CG1578	0.6149906103911329	0.33986633669025335	0.7378481213763479	0.5592892424860255	-0.10243974384009023	0.8926193444354306	-0.980176544915798	0.5936631145822754
NFAT	0.8553903120765236	0.9739181364461821	0.7570599411800752	-0.7574421798301096	-0.9998835400104958	-0.34270264724162086	0.08147369230487063	-0.729308963546859
Pdcd4	-0.5165449624219538	-0.22526176244949508	-0.6520715443336228	-0.6541749247157337	-0.016942503676855347	-0.9400188380081749	0.9968110775019777	-0.6854098329874672
Lsd-2	-0.12081511763617314	0.19326452166273547	-0.2846234105086036	-0.9064460306982416	-0.4247116188190457	-0.9972935359375227	0.9421470426151441	-0.9234078070120287
CG9220	0.022932928413836453	0.33210487035104386	-0.14406460815485825	-0.9576818069788995	-0.550271398867424	-0.9764108065908955	0.8842721540740703	-0.9689411094802077
CG7378	-0.5321030313076345	-0.2430250680178725	-0.6658146082097508	-0.6402469684994628	0.0013281910119024147	-0.9336294551388835	0.9951867471437581	-0.671991630975693
kek5	0.19483112055594706	-0.11922970803528198	0.3556298275163154	0.8722659780242973	0.3557056878353082	0.9999990407680145	-0.9646081458155513	0.8920640139438307
Cyp6v1	-0.3710185925371605	-0.06446164775880779	-0.5206467159597666	-0.7680538461232188	-0.17868387457816998	-0.9828615830429684	0.9965721626358612	-0.7943104560756533
CG17600	0.30247410892317106	0.5833820575151272	0.13932991045296983	-0.9999710682419095	-0.762417930166595	-0.8766279862349964	0.717760551490529	-0.9994060259632062
nAChRbeta3	0.5615050042607275	0.7906088943877568	0.4156895962832747	-0.9606927647392824	-0.915181402050936	-0.7032031128180273	0.48962926819040214	-0.9481653274106576
daw	-0.11925887789335612	-0.4215397963379015	0.04794081149434335	0.980979652880653	0.6282467778157621	0.951030457830132	-0.8351055266184905	0.9882762811401246
Rchy1	-0.26856625927950273	0.043681087128672615	-0.42540277495855544	-0.8327176571420203	-0.28389134123263504	-0.9970212422098546	0.9818103218867175	-0.8552707271956725
Tsp	-0.3527871566220918	-0.04493368951562963	-0.503850517096509	-0.780430530245085	-0.19789127782301208	-0.9862787262551445	0.9947637211609663	-0.8060392403354851
CG33298	-0.6786907228061219	-0.8731257019854913	-0.546748400180022	0.9085131920622866	0.9650758436061038	0.5892398653144605	-0.3540420322120788	0.8901329558291705
jp	-0.6611884257402408	-0.8613905953271613	-0.5268575991910517	0.9181114478205505	0.9586318079060969	0.6081233086642812	-0.37599119859746716	0.900628490299572
Samuel	0.3658888093172023	0.6366813516209733	0.20560811950043617	-0.9982188693495805	-0.8042081445467486	-0.8422850667857357	0.6693104646703759	-0.9948260337602829
CG5953	-0.9974690034648684	-0.9261352636651085	-0.9953629006118114	0.24132542561559542	0.8074869242041252	-0.26274193108961985	0.5090588743254711	0.20029230050075394
CG17549	-0.9860746662728029	-0.9889911892052704	-0.9445476340367964	0.4635288258109198	0.923888810903332	-0.02761720729543277	0.2915519477933829	0.42584755842905353
CG9265	-0.6106488227895406	-0.3346938900956385	-0.7341284627562319	-0.5638354876926194	0.09697272614593032	-0.8950827971936496	0.9812503291160505	-0.5980755534026123
scaf	-0.9231053323286046	-0.9968718064324554	-0.8460738745107744	0.6515389928274884	0.9864122692804015	0.19868605775930065	0.06815820303735859	0.619052929577023
SCAP	-0.9705194791640489	-0.8477759218935271	-0.9971196972555497	0.07141379525721792	0.6944264780259611	-0.42423747047816884	0.6490597488658938	0.029395246506237618
CG14764	0.9111280409111867	0.738210496376289	0.9670854691404216	0.10966820756120543	-0.5532483203402455	0.5806147407186977	-0.7756294210333369	0.15138017726884062
CG8170	0.9999187203350601	0.9544905787625658	0.9837984464293152	-0.3218133254006436	-0.8540864897139491	0.1809479432566942	-0.4351261423436384	-0.2817033760491
